Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000142,2011-05-13,2011-05-13,"9 Movies Seen 8.6 Average

Hereafter				        2010	7
Invictus				        2009	8
Gran Torino				        2008	9
Changeling				        2008	9
Letters from Iwo Jima			2006	8
Flags of our Fathers			2006	7
Million Dollar Baby		        2004	10
Mystic River				2003	9
Unforgiven				        1992	10
9 Movie Avg. 					8.6",Clint Eastwood,Million Dollar Baby,1930-05-31
2,nm0005222,2011-05-13,2011-05-13,"Away We Go				2009	9
Revolutionary Road			2008	9
Jarhead				        2005	8
Road to Perdition		         	2002	8
American Beauty			        1999	9
5 Movie Avg.					8.5",Sam Mendes,Skyfall,1965-08-01
3,nm0000217,2011-05-13,2011-05-13,"10 Movies Seen- 8.4 Average

Shutter Island				2010	6
The Departed		        	2006	10
The Aviator				        2004	9
Gangs of New York			2002	9
Bringing out the Dead			1999	7
Casino					1995	9
Cape Fear				        1991	9
Goodfellas		         		1990	9
Raging Bull		         		1980	7
Taxi Driver		         		1976	9
10 Movie Avg.				8.4",Martin Scorsese,Taxi Driver,1942-11-17
4,nm0000233,2011-05-13,2011-05-13,"Inglorious Basterds			2009	9
Death Proof				        2007	7
Kill Bill 2				        2004	9
Kill Bill			         	2003	9
Jackie Brown				1997	8
Pulp Fiction				        1994	9
Reservoir Dogs		           	1992	8
7 Movie Avg.					8.4",Quentin Tarantino,Reservoir Dogs,1963-03-27
5,nm0001814,2011-05-13,2011-05-13,"Milk					2008	9
Last Days 				2005	6
Elephant				2003	9
Finding Forrester			2000	8
Good Will Hunting			1997	10
5 Movie Avg.					8.4",Gus Van Sant,Elephant,1952-07-24
6,nm0000033,2011-05-13,2011-05-13,"Psycho					1960	9
Rear Window				1954	9
Dial M for Murder			1954	7
Rebecca				1940	8
4 Movie Avg.					8.3",Alfred Hitchcock,Psycho,1899-08-13
7,nm0000229,2011-05-13,2011-05-13,"Munich				2005	9
War of the Worlds			2005	7
The Terminal				2004	7
Catch Me if You Can			2002	8
Minority Report			2002	8
Saving Private Ryan			1998	10
Jurassic Park 2				1997	5
Schindler?s List 			1993	10
Jurassic Park				1993	9
Jaws					1975	9
10 Movie Avg. 				8.2",Steven Spielberg,Schindler's List,1946-12-18
8,nm0000095,2011-05-13,2011-05-13,"You Will Meet a Tall Dark Stranger	2010	8	
Whatever Works			2009	8
Vicky Cristina Barcelona		2008	9
Cassandra?s Dream			2007	7
Scoop					2006	7
Match Point			2005	10
Crimes and Misdemeanors		1989	9
Manhattan				1979	7
Annie Hall				1977	9
Sleeper					1973	8
10 Movie Avg.				8.2",Woody Allen,Manhattan,1935-12-01
9,nm0000040,2011-05-17,2011-05-17,"Eyes Wide Shut			1999	6
Full Metal Jacket			1987	9
The Shining				1980	8
A Clockwork Orange			1971	8
Dr. Strangelove			1964	9
Paths of Glory				1957	9
6 Movie Avg.					8.2",Stanley Kubrick,2001: A Space Odyssey,1928-07-26
10,nm0000116,2011-05-17,2011-05-17,"Avatar					2009	9
True Lies				1994	7
Terminator 2				1991	9
The Abyss				1989	8
The Terminator			1984	8
5 Movie Avg.					8.2",James Cameron,Avatar,1954-08-16
11,nm0000399,2011-05-17,2011-05-17,"The Social Network			2010	8
Benjamin Button			2008	9
Zodiac					2007	9	
Panic Room				2002	6
Fight Club				1999	9
The Game				1997	6
Se7ven				1995	10
7 Movie Avg. 					8.1",David Fincher,Se7en,1962-08-28
12,nm0001566,2011-05-17,2011-05-17,"Charlie Wilson?s War		2007	9
Closer					2004	8
Silkwood				1983	7
Carnal Knowledge			1971	7
The Graduate				1967	8
Who?s Afraid of Virginia Woolf?	1966	9
6 Movie Avg.					8.0",Mike Nichols,The Graduate,1931-11-06
13,nm0000709,2011-05-17,2011-05-17,"Beowulf				2007	6
Cast Away				2000	9
What Lies Beneath			2000	8
Forrest Gump				1994	9
Who Framed Roger Rabbit		1988	8
Back to the Future			1985	8
6 Movie Avg.					8.0",Robert Zemeckis,Back to the Future,1951-05-14
14,nm0000338,2011-05-18,2011-05-18,"The Godfather 3			1990	7
The Outsiders				1983	6
The Godfather 2			1974	9
The Godfather			1972	10
4 Movie Avg.					8.0",Francis Ford Coppola,Apocalypse Now,1939-04-07
15,nm0006487,2011-05-18,2011-05-18,"Brothers				2009	8
In America				2002	7
In the Name of the Father		1993	8
My Left Foot 				1989	9
4 Movie Avg.					8.0",Jim Sheridan,In America,1949-02-06
16,nm0400441,2011-05-18,2011-05-18,"(Along With Brother Albert)
The Book of Eli			2010	7
From Hell				2001	8
Dead Presidents			1995	8
Menace II Society			1993	9
4 Movie Avg.					8.0",Allen Hughes,The Book of Eli,1972-04-01
17,nm0634240,2011-05-17,2011-05-17,"Inception				2010	8
The Dark Knight			2008	9
The Prestige				2006	7
Batman Begins			2005	8
Insomnia				2002	6
Memento				2000	9
6 Movie Avg.					7.8",Christopher Nolan,Dunkirk,1970-07-30
18,nm0001880,2011-05-17,2011-05-17,"Love & Other Drugs			2010	7
Defiance				2008	7
Blood Diamond			2006	9
The Last Samurai			2003	8
Legends of the Fall			1994	7
Glory					1989	9
6 Movie Avg.					7.8",Edward Zwick,Thirtysomething,1952-10-08
19,nm0001741,2011-05-17,2011-05-17,"Valkyrie				2008	8
Superman Returns			2006	7
X2					2003	7
X-Men					2000	8
The Usual Suspects			1994	9
5 Movie Avg.					7.8",Bryan Singer,X-Men,1965-09-17
20,nm0000697,2011-05-18,2011-05-18,"The Apartment			1960	7
Ace In The Hole			1951	7
The Lost Weekend			1945	8
Double Idemnity			1944	9
4 Movie Avg.					7.8",Billy Wilder,The Apartment,1906-06-22
21,nm0001486,2011-05-18,2011-05-18,"Sidney Lumet
Before The Devil Knows You?re 	2007	7
Serpico				1973	8
Fail-Safe				1964	8
12 Angry Men				1957	8
4 Movie Avg.					7.8",Sidney Lumet,12 Angry Men,1924-06-25
22,nm0269463,2011-05-18,2011-05-18,"Iron Man 2				2010	7
Iron Man				2008	9
Elf					2003	7
Made					2001	8
4 Movie Avg.					7.8",Jon Favreau,Chef,1966-10-19
23,nm0000318,2011-05-17,2011-05-17,"Sweeney Todd				2007	8
Charlie and Chocolate Factory	2005	9
Planet of the Apes			2001	7
Ed Wood				1994	9
Edward Scissorhands			1990	6
Pee-Wee?s Bg Adventure		1985	7
6 Movie Avg. 					7.7",Tim Burton,Edward Scissorhands,1958-08-25
24,nm0000591,2011-05-17,2011-05-17,"The Ghost Writer			2010	8
The Pianist 				2002	9
The Ninth Gate			1999	6
Frantic					1988	7
Tess					1979	8
Chinatown				1974	10
Rosemary?s Baby			1968	7
Dance of the Vampires		1967	6
8 Movie Avg.					7.6",Roman Polanski,Chinatown,1933-08-18
25,nm0000490,2011-05-17,2011-05-17,"Miracle at St. Anna			2008	6
Inside Man				2006	9
25th Hour				2002	8
Summer of Sam			1999	7
Do the Right Thing			1989	8
5 Movie Avg. 					7.6",Spike Lee,Do the Right Thing,1957-03-20
26,nm0000361,2011-05-17,2011-05-17,"The Black Dahlia			2006	6
Mission Impossible			1996	7
The Untouchables			1987	9
Scarface				1983	9
Sisters					1973	7
5 Movie Avg. 					7.6",Brian De Palma,Dressed to Kill,1940-09-11
27,nm0001675,2011-05-17,2011-05-17,"Machete				2010	8
Planet Terror				2007	9
Sin City				2005	9
Once Upon a Time in Mexico		2003	7
The Faculty				1998	5
Desperado				1995	7
6 Movie Avg.					7.5",Robert Rodriguez,El mariachi,1968-06-20
28,nm0000916,2011-05-17,2011-05-17,"Hancock				2008	6
The Kingdom				2007	9
Friday Night Lights			2004	8
The Rundown				2003	7
4 Movie Avg.					7.5",Peter Berg,Very Bad Things,1964-03-11
29,nm0000600,2011-05-17,2011-05-18,"Drag me to Hell			2009	6
Spiderman 3				2007	7
Spiderman 2				2004	8
Spiderman				2002	9
4 Movie Avg.					7.5",Sam Raimi,Spider-Man,1959-10-23
30,nm0000231,2011-05-17,2011-05-17,"Wall Street 2				2010	7
W. 					2008	8
World Trade Center			2006	8
Alexander				2004	5
Any Given Sunday			1999	6			
U-Turn					1997	7
Natural Born Killers			1994	7
Born on the Fourth of July		1989	9
Wall Street				1987	8
Platoon				1986	9
10 Movie Avg. 					7.4",Oliver Stone,JFK,1946-09-15
31,nm0001054,2011-05-17,2011-05-17,"(Along with Brother Ethan)
True Grit				2010	8
A Serious Man			2009	8
Burn After Reading			2008	6
No Country For Old Men		2007	9
The Ladykillers			2004	6
Intolerable Cruelty			2003	6
The Big Lebowski			1998	8
Fargo					1996	8
8 Movie Avg.					7.4",Joel Coen,Fargo,1954-11-29
32,nm0000631,2011-05-17,2011-05-17,"Robin Hood				2010	6
Body of Lies				2008	7
American Gangster			2007	9
Kingdom of Heaven			2005	7
Black Hawk Down			2001	7
Gladiator				2000	9
Thelma and Louise			1991	7
7 Movie Avg.					7.4",Ridley Scott,The Martian,1937-11-30
33,nm0000520,2011-05-17,2011-05-17,"Public Enemies			2009	6
Miami Vice				2006	8
Collateral				2004	7
Ali					2001	6
The Insider				1999	8
Heat					1995	9
The Last of the Mohicans		1992	7
7 Movie Avg.					7.3",Michael Mann,The Insider,1943-02-05
34,nm0893659,2011-05-17,2011-05-17,"Pirates 3 At World?s End		2007	6
Pirates 2 Dead Man?s Chest		2006	8
The Weather Man			2005	7
Pirates Curse of Black Pearl	2003	8
4 Movie Avg.					7.3",Gore Verbinski,Rango,1964-03-16
35,nm0004716,2011-05-17,2011-05-17,"Black Swan				2010	8
The Wrestler				2008	9
The Fountain				2006	4
Requiem for a Dream		2000	9
Pi					1998	6
5 Movie Avg.					7.2",Darren Aronofsky,Pi,1969-02-12
36,nm0796117,2011-05-17,2011-05-17,"The Last Airbender			2010	6
The Happening			2008	6
Lady in the Water			2006	7
The Village				2004	9
Signs					2002	9
Unbreakable				2000	5
The Sixth Sense			1999	8
7 Movie Avg.					7.1",M. Night Shyamalan,Lady in the Water,1970-08-06
37,nm0000881,2011-05-17,2011-05-17,"Transformers 2			2009	6
Transformers				2007	9
The Island				2005	7
Bad Boys 2				2003	5
Pearl Harbor				2001	6
Armageddon				1998	8
The Rock				1996	8
Bad Boys				1995	7
8 Movie Avg.					7.0",Michael Bay,Armageddon,1965-02-17
38,nm0001469,2011-05-17,2011-05-17,"What Just Happened			2008	6
Man of the Year			2006	7
Sleepers				1996	8
Avalon					1990	6
Rain Man				1988	8
Good Morning Vietnam		1987	6
The Natural				1984	8
7 Movie Avg. 					7.0",Barry Levinson,Rain Man,1942-04-06
39,nm0005363,2011-05-17,2011-05-17,"Sherlock Holmes			2009	7	
RocknRolla				2008	8
Revolver				2006	6
Swept Away 				2002	4
Snatch					2000	9
Lock, Stock and Two Smoking B.	1998	8
6 Movie Avg.					7.0",Guy Ritchie,Sherlock Holmes,1968-09-10
40,nm0905152,2011-05-17,2011-05-17,"(Along with Brother Lana)
Matrix Revolutions			2003	6
Matrix Reloaded			2003	8
The Matrix				1999	9
Bound					1996	5
4 Movie Avg.					7.0",Lilly Wachowski,The Matrix,1967-12-29
41,nm0000165,2011-05-17,2011-05-17,"The Dilemma				2011	4
Angels and Demons			2009	6
Frost/Nixon				2008	9
The Da Vinci Code			2006	6
Cinderella Man			2005	9
The Missing				2003	8
A Beautiful Mind			2001	9
Far and Away				1992	4
Backdraft				1991	7
9 Movie Avg.					6.9",Ron Howard,Arrested Development,1954-03-01
42,nm0001716,2011-05-17,2011-05-17,"Unstoppable				2010	6
The Taking of Pelham 123		2009	7
Déjà vu				2006	7
Domino				2005	5
Man on Fire				2004	8
Spy Game				2001	8
Crimson Tide				1995	7
True Romance				1993	7
The Last Boy Scout			1991	6
Beverly Hills Cop 2			1987	7
Top Gun				1986	7
11 Movie Avg. 				6.8",Tony Scott,Domino,1944-06-21
43,nm0000965,2011-05-17,2011-05-17,"127 Hours				2010	8
Slumdog Millionaire			2008	9
Millions				2004	7
The Beach				2000	6
A Life Less Ordinary			1997	3
Trainspotting				1996	8
6 Movie Avg.					6.8",Danny Boyle,127 Hours,1956-10-20
44,nm0003506,2011-05-17,2011-05-17,"Knight & Day				2010	5
3:10 to Yuma				2007	7
Walk the Line 			2005	9
Identity 				2003	6
Girl Interrupted			1999	7
Cop Land				1997	7
6 Movie Avg.					6.8",James Mangold,Logan,1963-12-16
45,nm0001752,2011-05-17,2011-05-17,"Ocean?s 13				2007	7
Ocean?s 12				2004	6
Solaris					2002	3
Ocean?s 11				2001	9
Traffic					2000	9
Sex, Lies, and Videotape		1989	6
6 Movie Avg.					6.7",Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
46,nm0711840,2011-05-17,2011-05-17,"Rush Hour 3				2007	5
X3 The Last Stand			2006	7
After the Sunset			2004	7
Red Dragon				2002	8
Rush Hour 2				2001 	7
5 Movie Avg.					6.8",Brett Ratner,Red Dragon,1969-03-28
47,nm0336620,2011-05-18,2011-05-18,"Law Abiding Citizen			2009	5
Be Cool				2005	7
The Italian Job				2003	8
A Man Apart				2003	6
Friday					1995	8
5 Movie Avg. 					6.8",F. Gary Gray,Set It Off,1969-07-17
48,nm0000127,2011-05-18,2011-05-18,"Scream 4				2011	7
Red Eye				2005	7
Scream 3				2000	6
Scream 2				1997	5
Scream					1996	9
5 Movie Avg.					6.8",Wes Craven,A Nightmare on Elm Street,1939-08-02
49,nm0000602,2011-05-17,2011-05-17,"Lions for Lambs			2007	7
Bagger Vance				2000	5
A River Runs Through it		1992	7
Ordinary People			1980	8
4 Movie Avg.					6.8",Robert Redford,The Natural,1936-08-18
50,nm0318150,2011-05-17,2011-05-17,"Moonraker				1979	6
The Spy Who Loved Me		1977	8	
You Only Live Twice			1967	7	
Alfie					1966	6
4 Movie Avg.					6.8",Lewis Gilbert,Alfie,1920-03-06
51,nm0510731,2011-05-17,2011-05-17,"Mr. and Mrs. Smith			2005	5
The Bourne Identity			2002	7
Go					1999	6
Swingers				1996	9
4 Movie Avg.					6.8",Doug Liman,Edge of Tomorrow,1965-07-24
52,nm0000487,2011-05-17,2011-05-17,"Ang Lee^
Taking Woodstock			2009	6
Brokeback Mountain			2005	8
Hulk					2003	5
Crouching Tiger, Hidden Dragon	2000	8
4 Movie Avg. 					6.8",Ang Lee,Wo hu cang long,1954-10-23
53,nm0000386,2011-05-17,2011-05-17,"The Day After Tomorrow		2004	6
The Patriot				2000	6
Godzilla				1998	5
Independence Day			1996	7
4 Movie Avg. 					6.0",Roland Emmerich,Independence Day,1955-11-10
54,nm0005436,2011-05-18,2011-05-18,"2 Fast 2 Furious			2003	4
Rosewood				1997	6
Higher Learning			1995	6
Boyz n tha Hood			1991	8
4 Movie Avg.					6.0",John Singleton,Boyz n the Hood,1968-01-06
55,nm0001708,2011-05-17,2011-05-17,"The Number 23			2007	4
Veronica Guerin			2003	7
Bad Company				2002	6
Batman Forever 			1995 	6
4 Movie Avg. 					5.8",Joel Schumacher,The Phantom of the Opera,1939-08-29