DATE,CPIAUCSL
1947-01-01,22.33166667
1948-01-01,24.045
1949-01-01,23.80916667
1950-01-01,24.0625
1951-01-01,25.97333333
1952-01-01,26.56666667
1953-01-01,26.76833333
1954-01-01,26.865
1955-01-01,26.79583333
1956-01-01,27.19083333
1957-01-01,28.11333333
1958-01-01,28.88083333
1959-01-01,29.15
1960-01-01,29.585
1961-01-01,29.90166667
1962-01-01,30.25333333
1963-01-01,30.63333333
1964-01-01,31.03833333
1965-01-01,31.52833333
1966-01-01,32.47083333
1967-01-01,33.375
1968-01-01,34.79166667
1969-01-01,36.68333333
1970-01-01,38.84166667
1971-01-01,40.48333333
1972-01-01,41.80833333
1973-01-01,44.425
1974-01-01,49.31666667
1975-01-01,53.825
1976-01-01,56.93333333
1977-01-01,60.61666667
1978-01-01,65.24166667
1979-01-01,72.58333333
1980-01-01,82.38333333
1981-01-01,90.93333333
1982-01-01,96.53333333
1983-01-01,99.58333333
1984-01-01,103.9333333
1985-01-01,107.6
1986-01-01,109.6916667
1987-01-01,113.6166667
1988-01-01,118.275
1989-01-01,123.9416667
1990-01-01,130.6583333
1991-01-01,136.1666667
1992-01-01,140.3083333
1993-01-01,144.475
1994-01-01,148.225
1995-01-01,152.3833333
1996-01-01,156.8583333
1997-01-01,160.525
1998-01-01,163.0083333
1999-01-01,166.5833333
2000-01-01,172.1916667
2001-01-01,177.0416667
2002-01-01,179.8666667
2003-01-01,184
2004-01-01,188.9083333
2005-01-01,195.2666667
2006-01-01,201.5583333
2007-01-01,207.3441667
2008-01-01,215.25425
2009-01-01,214.5646667
2010-01-01,218.0761667
2011-01-01,224.923
2012-01-01,229.5860833
2013-01-01,232.95175
2014-01-01,236.7065
2015-01-01,236.99275
2016-01-01,240.0063333
2017-01-01,245.13925
,